FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
ПФО;Саратовская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Удмуртская Республика;3;10936;9703;4739;0;2009;0;2955;166;706;163;527;5,96;5,44;0;301;0;0;8
ПФО;Удмуртская Республика;4;825;298;132;0;0;0;166;166;0;0;527;0;0;0;;;;
ПФО;Удмуртская Республика;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Удмуртская Республика;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Удмуртская Республика;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Удмуртская Республика;8;0;9250;4325;0;1972;0;2953;166;706;163;0;0;0;0;;;;
ПФО;Удмуртская Республика;9;3755;3592;1097;0;679;0;1816;166;163;163;0;0;0;0;;;;
ПФО;Удмуртская Республика;10;4412;3342;1144;0;1061;0;1137;0;543;0;527;0;0;0;;;;
ПФО;Удмуртская Республика;11;2769;2769;2498;0;269;0;2;0;0;0;0;0;0;0;;;;
ПФО;Удмуртская Республика;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Ульяновская область;3;5506;3620;3228;562;277;0;115;79;0;0;1886;3809,2;3809;0;116;80;35;8
ПФО;Ульяновская область;4;29;29;29;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Ульяновская область;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Ульяновская область;6;221;221;124;50;46;0;51;15;0;0;0;0;0;0;;;;
ПФО;Ульяновская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Ульяновская область;8;0;85;42;0;43;0;0;0;0;0;0;0;0;0;;;;
ПФО;Ульяновская область;9;1524;176;176;0;0;0;0;0;0;0;1348;0;0;0;;;;
ПФО;Ульяновская область;10;221;221;124;50;46;0;51;15;0;0;0;0;0;0;;;;
ПФО;Ульяновская область;11;3224;2874;2714;512;96;0;64;64;0;0;350;0;0;0;;;;
ПФО;Ульяновская область;12;537;349;214;0;135;0;0;0;0;0;188;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;3;33057;22430;13931;277;5599;0;2900;286;6087;500;4540;5,2;3;0;36;79;63;9
ПФО;Чувашская Республика — Чувашия;4;433;0;0;0;0;0;0;0;0;0;433;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;6;6660;3357;504;0;883;0;1970;0;0;0;3303;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;8;0;5896;3406;277;2072;0;418;286;0;0;0;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;9;9640;9640;7375;0;1753;0;512;0;0;0;0;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;10;21288;10833;5106;277;3339;0;2388;286;6087;500;4368;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;11;2129;1957;1450;0;507;0;0;0;0;0;172;0;0;0;;;;
ПФО;Чувашская Республика — Чувашия;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
СЗФО;Архангельская область;3;13232;12292;7452;338;1843;0;2997;0;86;0;854;3,92;2,81;0;30;30;0;3
СЗФО;Архангельская область;4;870;870;770;0;40;0;60;0;0;0;0;0;0;0;;;;
СЗФО;Архангельская область;5;900;900;550;0;300;0;50;0;0;0;0;0;0;0;;;;
СЗФО;Архангельская область;6;1350;1350;1350;0;0;0;0;0;0;0;0;0;0;0;;;;
СЗФО;Архангельская область;7;387;387;0;0;0;0;387;0;0;0;0;0;0;0;;;;
СЗФО;Архангельская область;8;0;9022;4961;0;1281;0;2780;0;86;0;0;0;0;0;;;;
СЗФО;Архангельская область;9;2529;1762;1117;0;488;0;157;0;0;0;767;0;0;0;;;;
СЗФО;Архангельская область;10;8657;8571;4627;0;1164;0;2780;0;86;0;0;0;0;0;;;;
СЗФО;Архангельская область;11;2046;1959;1708;338;191;0;60;0;0;0;87;0;0;0;;;;
СЗФО;Архангельская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
СЗФО;Вологодская область;3;19881;13914;7720;207;793;931;4470;626;4791;2453;1176;9055,12;4,08;0;89;612;173;8
СЗФО;Вологодская область;4;495;426;80;0;82;0;264;264;69;0;0;0;0;0;;;;
СЗФО;Вологодская область;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
СЗФО;Вологодская область;6;498;0;0;0;0;0;0;0;0;0;498;0;0;0;;;;
СЗФО;Вологодская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
СЗФО;Вологодская область;8;0;9218;3918;173;204;909;4187;603;4015;2453;0;0;0;0;;;;
СЗФО;Вологодская область;9;724;724;280;0;304;0;140;0;0;0;0;0;0;0;;;;
СЗФО;Вологодская область;10;13957;8308;4609;173;202;110;3387;603;4791;2453;858;0;0;0;;;;
СЗФО;Вологодская область;11;5103;4785;2763;34;287;821;914;23;0;0;318;0;0;0;;;;
